what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1362798714103
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1362798714104
os,sysinfo,,,"win32",1362798714107
arch,sysinfo,,,"x86_64",1362798714107
ws,sysinfo,,,"win32",1362798714107
locale,sysinfo,,,"en_US",1362798714107
processors,sysinfo,,,"8",1362798714107
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1362798714107
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1362798714107
java.specification.name,sysinfo,,,"Java Platform API Specification",1362798714107
java.specification.vendor,sysinfo,,,"Oracle Corporation",1362798714107
java.specification.version,sysinfo,,,"1.7",1362798714107
java.vendor,sysinfo,,,"Oracle Corporation",1362798714107
java.version,sysinfo,,,"1.7.0_09",1362798714107
java.vm.info,sysinfo,,,"mixed mode",1362798714107
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1362798714107
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1362798714107
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1362798714107
java.vm.specification.version,sysinfo,,,"1.7",1362798714107
java.vm.vendor,sysinfo,,,"Oracle Corporation",1362798714107
java.vm.version,sysinfo,,,"23.5-b02",1362798714107
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1362798719282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362798724035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362798739604
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1362798739611
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1362798739611
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1362798739797
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362798744196
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1362798758698
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362798758718
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1362798758725
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1362798758725
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362798767727
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362798767826
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1362798768214
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362798768446
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362798768592
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1362798768957
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362798769222
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362798769305
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1362798770076
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1362798770081
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362798770676
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362798770757
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1362798771416
